Date,NSW_gov_final_exp,NSW_Household_cons_exp,NSW_Priv_Gross_fixed_cap_ form,NSW_Pub_Gross_fixed_cap_ form,NSW_SFD,Vic_gov_final_exp ,Vic_Household_cons_exp,Vic_Priv_Gross_fixed_cap_ form,Vic_Pub_Gross_fixed_cap_ form,Vic_SFD,queensland_gov_final_exp,queensland_Household_cons_exp,queensland_Priv_Gross_fixed_cap_ form,queensland_Pub_Gross_fixed_cap_ form,queensland_SFD,SA_gov_final_exp,SA_Household_cons_exp,SA_Priv_Gross_fixed_cap_ form,SA_Pub_Gross_fixed_cap_ form,SA_SFD,WA_gov_final_exp ,WA_Household_cons_exp,WA_Priv_Gross_fixed_cap_ form,WA_Pub_Gross_fixed_cap_ form,WA_SFD,Tas_gov_final_exp ,Tas_Household_cons_exp,Tas_Priv_Gross_fixed_cap_ form,Tas_Pub_Gross_fixed_cap_ form,Tas_SFD,NT_gov_final_exp ,NT_Household_cons_exp,NT_Priv_Gross_fixed_cap_ form,NT_Pub_Gross_fixed_cap_ form,NT_SFD,ACT_gov_final_exp ,ACT_Household_cons_exp,ACT_Priv_Gross_fixed_cap_ form,ACT_Pub_Gross_fixed_cap_ form,ACT_SFD
19-Sep,1.7,0,-1.7,4.6,0.1,0.3,-0.2,6.1,-8.3,0.6,0,-0.3,3.4,1.7,0.5,-0.4,-0.3,-1.9,8,-0.3,3.6,0.2,2.2,0.6,1.3,1.1,0.4,1.9,-1,0.6,-0.2,-0.5,0.8,-21,-1.7,0.6,0,7.3,-8.1,0.5
19-Dec,2,0.2,0,-0.4,0.5,0.8,0.3,-1,-0.3,0.2,2,0.6,-1.3,3,0.8,2.2,0,1.5,-4.9,0.7,0.8,0.7,0.6,-0.6,0.7,1.5,0.9,-9.9,-10.7,-1.2,-0.4,0.4,-2.3,8.7,0.2,0.2,0.1,4.3,5.9,1
20-Mar,2.4,-1.8,-2.7,-3.1,-0.9,3.1,-1.5,-1.1,2.7,0,2.2,-0.6,0.4,-1.9,0.3,1.9,-1.3,-2.4,2.2,-0.5,-0.3,-1.1,3.2,4.4,0.5,0.6,-0.8,5.6,10.8,1.1,1.4,-1.4,-8.7,-0.3,-1.2,5,0.5,-0.2,5,2.9
20-Jun,1.4,-14,-5.8,-6.5,-8.7,1.1,-14.5,-6.1,4.9,-8.3,2.5,-9.9,-8.3,-4.4,-6.2,-0.1,-10.7,-2.9,-0.7,-6.3,5.2,-11.8,-3.5,-5.1,-5.6,3.9,-13.5,-3,-14.2,-7.6,-0.3,-6,4,-13.4,-2.8,5.7,-12.1,1,-8.6,-1.7
20-Sep,1.9,10.4,4.4,6.1,7.7,5.3,-1.6,-2.4,-4.2,0.2,-0.1,11.6,4.3,-0.5,7,3.2,11.5,1.2,3.8,7.6,-0.2,12.1,1.9,-2.5,6.6,-0.8,10.8,0.6,2,6,5.9,7.6,6.5,11.4,7.3,0.6,9,-9.2,4.3,2.6
20-Dec,1.7,3.3,3.9,3.7,3.4,0.8,11.6,5.8,4.7,7.8,-1,2.7,5.6,4.8,2.6,-0.8,1.1,2.2,5.8,1.2,3.4,0.7,2.6,3.7,2.2,3.6,3,9.9,10.2,4.7,0.7,5.8,15.5,1.5,5.2,0.8,5.5,1.8,0.1,2.6
21-Mar,-0.2,1.2,9.4,-1.4,2.3,0.1,3.4,1.7,3.8,2.5,0.6,-0.1,2.6,-3,0.4,0.9,1.2,10.3,5.1,2.9,0.5,0.6,10.7,1,3.1,0.5,2.4,5.6,3.2,2.5,2.2,-1.5,-17,2.2,-2.2,0.3,0.5,5.9,-0.1,1
21-Jun,1.9,2,2.1,2.9,2,2.6,0.1,2.2,7.5,1.4,2.1,0.4,3.3,11.8,1.9,1.7,0.3,0.6,10.7,1.2,0.1,1.6,0.7,14.6,1.5,2.2,1,0.7,7.9,1.7,-3.5,2.7,39.2,10.6,5.4,0,1.5,6.1,0.2,1.2
21-Sep,4.7,-10.2,-5.3,-0.3,-5.9,1.8,-5.2,5.8,-4.8,-1.8,3,0.3,6.8,-6,1.6,2.8,-0.2,7.9,-7.3,1.3,0.9,2.1,-0.8,1.7,0.9,3.9,0.6,12.5,-2.1,2.9,6.5,1,1.8,4.3,3,5,-10.7,-7.8,9.2,-1.7
21-Dec,0.7,11.3,4.5,1.1,6.9,2.3,7,-1.7,5.9,4,1,2.1,-1.6,-8.4,0.5,1.1,2.6,-1.6,-6.1,1,1.7,1.8,-1.4,-1.7,0.7,-0.5,1,-9.6,0.9,-1.2,-3.8,-0.8,3.3,-4.4,-1.5,-2.5,8.7,10,-7.9,1.9
22-Mar,2.3,2.7,-1.1,1.1,1.8,2.3,4,1.9,1.6,3,3.2,0.7,-1.7,2.9,0.9,1.5,1.5,3.7,0.3,1.8,3.3,1.2,2.2,5.5,2,1.8,-0.3,-4.9,-1,-0.5,6.8,-1.4,-0.1,10.9,2.3,2.4,3.8,-2.3,5.4,2.5
22-Jun,-0.9,2.6,0.5,5.9,1.6,-1.5,2.6,-2.3,6.4,0.9,-0.5,2.4,-2.7,4.4,0.9,2.5,1.6,2.3,-6.4,1.6,1.3,1,-0.6,-1.6,0.6,0.1,0.7,0.2,0.4,0.4,-5.2,-0.2,2,1.3,-1.6,-1.5,1.3,3.7,-2.1,-0.1
22-Sep,-0.5,0.6,1.5,-3,0.3,-2,1,1.3,-4.2,0.1,0.9,0.4,3.6,-1.7,1,-2.9,1.5,2.2,-4.7,0.3,3.5,0.2,-0.3,3.3,1,0.6,1,4.6,5.7,1.7,0.2,1.3,3.8,3.5,1.6,2,2,-5.7,7.7,1.5
22-Dec,0.4,0.5,-0.9,0.2,0.2,1.1,0.8,-0.5,-1.6,0.5,1.6,0.4,-1.9,4.9,0.5,1,0.5,-2,-1.3,0.1,-2.3,2.4,0.3,2.2,0.9,1.2,0.3,-1.8,-2,0.1,1.3,0.3,4.3,-3,1.2,2.1,0.5,-4.8,0,0.7
23-Mar,1.1,-0.1,1.7,1,0.6,0,0.1,3.7,5.1,1,-0.9,0.2,1.9,5.7,0.5,-0.6,0.9,-0.8,2.2,0.3,-0.2,0.7,3.5,7.1,1.5,0.7,0.3,-3.2,3.5,0.1,0.2,-0.6,-7.8,8.1,-1.2,0,1.2,-1,2.6,0.5
23-Jun,0.7,0.2,2.8,8.4,1.2,0.7,0.5,0,8.1,0.9,1.6,0.7,1.7,9.8,1.6,0.6,0.5,1.6,7.3,1,0.7,1.2,1.9,3,1.3,-1.8,-0.3,3.7,6,0.3,0.1,1,-5.5,2.4,-0.4,1,0,-0.8,3.4,0.6
23-Sep,1.3,0.1,-0.1,1.3,0.4,1.3,0,1.5,-0.8,0.5,2.2,-0.8,-0.8,-4,-0.3,1.7,-0.2,1.5,6.5,0.8,1.7,-0.1,7.7,6,2.5,3.4,0.6,2,1,1.5,2.4,0.2,5,8,2.3,-1.1,0.3,-6.8,17,-0.1
23-Dec,0.6,-0.1,-1.1,-3.2,-0.3,0.5,-0.1,-0.1,-5.1,-0.2,0.8,0.9,0.7,-0.3,0.8,0.9,-0.2,-3.4,0.6,-0.5,0.2,0.7,2.2,4.8,1.2,-0.2,-0.2,-2.9,1.9,-0.5,0.3,0.2,13.7,2.7,2.8,0.5,0.3,15.4,-9.1,1.1
24-Mar,0.2,0.5,0.8,0.3,0.5,1.6,0.7,-0.1,-2.2,0.6,1.6,0.8,0.6,0.3,0.9,0.3,0.5,-1.1,2.1,0.3,1.9,0.7,-5.2,-0.8,-0.7,2.5,0,-0.8,-6.1,0.1,0.6,1.3,-11.8,-6.1,-2,2.7,0.7,-0.5,-5.4,1.2
24-Jun,1.6,-0.6,-0.9,-3.8,-0.4,1.8,-0.1,-0.2,5.4,0.6,1.7,0.1,-1.4,2.8,0.4,1.4,-0.3,2.7,5.8,0.9,-0.5,0.4,2.6,2.4,0.9,3.8,-0.2,-0.5,-3.3,0.6,0.6,0.1,21.6,12.6,4.9,0.8,-0.3,-4.1,5.3,0.2
