Date,Price
2001:08:14,7034.93
2001:08:15,7007.07
2001:08:16,7010.56
2001:08:17,6914.58
2001:08:20,6979.73
2001:08:21,6909.46
2001:08:22,6945.74
2001:08:23,6935.47
2001:08:24,7043.45
2001:08:27,7003.26
2001:08:28,6903.93
2001:08:29,6826.54
2001:08:30,6731.40
2001:08:31,6747.17
2001:09:03,NA
2001:09:04,6771.67
2001:09:05,6776.42
2001:09:06,6621.39
2001:09:07,6482.49
2001:09:10,6536.02
2001:09:11,6536.02
2001:09:12,6536.02
2001:09:13,6536.02
2001:09:14,6536.02
2001:09:17,6250.18
2001:09:18,6227.84
2001:09:19,6137.16
2001:09:20,5951.87
2001:09:21,5857.68
2001:09:24,6077.34
2001:09:25,6147.42
2001:09:26,6157.55
2001:09:27,6255.97
2001:09:28,6382.49
2001:10:01,6392.20
2001:10:02,6470.94
2001:10:03,6530.93
2001:10:04,6496.06
2001:10:05,6493.53
2001:10:08,6432.40
2001:10:09,6431.48
2001:10:10,6558.04
2001:10:11,6611.00
2001:10:12,6568.26
2001:10:15,6569.76
2001:10:16,6603.29
2001:10:17,6523.92
2001:10:18,6465.94
2001:10:19,6482.69
2001:10:22,6574.82
2001:10:23,6533.58
2001:10:24,6517.08
2001:10:25,6587.08
2001:10:26,6624.81
2001:10:29,6487.23
2001:10:30,6382.99
2001:10:31,6365.91
2001:11:01,6490.23
2001:11:02,6504.49
2001:11:05,6566.92
2001:11:06,6648.99
2001:11:07,6622.92
2001:11:08,6656.35
2001:11:09,6666.53
2001:11:12,6643.18
2001:11:13,6760.01
2001:11:14,6776.24
2001:11:15,6793.80
2001:11:16,6763.82
2001:11:19,6832.28
2001:11:20,6805.69
2001:11:21,6774.47
2001:11:22,6774.47
2001:11:23,6844.31
2001:11:26,6869.96
2001:11:27,6817.38
2001:11:28,6694.54
2001:11:29,6746.00
2001:11:30,6731.39
2001:12:03,6677.57
2001:12:04,6733.78
2001:12:05,6843.18
2001:12:06,6818.84
2001:12:07,6785.10
2001:12:10,6674.51
2001:12:11,6640.42
2001:12:12,6637.19
2001:12:13,6564.80
2001:12:14,6582.40
2001:12:17,6648.36
2001:12:18,6693.98
2001:12:19,6770.55
2001:12:20,6757.59
2001:12:21,6775.03
2001:12:24,6767.58
2001:12:25,6767.58
2001:12:26,6786.31
2001:12:27,6830.33
2001:12:28,6848.17
2001:12:31,6778.03
2002:01:01,NA
2002:01:02,6804.65
2002:01:03,6824.75
2002:01:04,6865.88
2002:01:07,6816.90
2002:01:08,6771.17
2002:01:09,6737.61
2002:01:10,6752.68
2002:01:11,6693.74
2002:01:14,6662.98
2002:01:15,6708.90
2002:01:16,6621.17
2002:01:17,6669.88
2002:01:18,6633.77
2002:01:21,6633.77
2002:01:22,6613.38
2002:01:23,6635.32
2002:01:24,6635.37
2002:01:25,6638.72
2002:01:28,6627.21
2002:01:29,6422.37
2002:01:30,6493.10
2002:01:31,6587.73
2002:02:01,6550.22
2002:02:04,6377.43
2002:02:05,6362.52
2002:02:06,6336.39
2002:02:07,6347.10
2002:02:08,6450.53
2002:02:11,6526.82
2002:02:12,6512.92
2002:02:13,6567.75
2002:02:14,6562.25
2002:02:15,6492.76
2002:02:18,6492.76
2002:02:19,6382.24
2002:02:20,6478.13
2002:02:21,6397.96
2002:02:22,6464.65
2002:02:25,6566.00
2002:02:26,6558.51
2002:02:27,6580.78
2002:02:28,6577.25
2002:03:01,6707.61
2002:03:04,6817.91
2002:03:05,6751.50
2002:03:06,6854.24
2002:03:07,6816.39
2002:03:08,6824.65
2002:03:11,6854.63
2002:03:12,6871.03
2002:03:13,6820.93
2002:03:14,6816.63
2002:03:15,6899.70
2002:03:18,6885.40
2002:03:19,6908.08
2002:03:20,6805.26
2002:03:21,6793.24
2002:03:22,6781.67
2002:03:25,6690.24
2002:03:26,6723.64
2002:03:27,6757.00
2002:03:28,6754.50
2002:03:29,6754.50
2002:04:01,6728.63
2002:04:02,6712.82
2002:04:03,6652.93
2002:04:04,6647.53
2002:04:05,6631.26
2002:04:08,6625.42
2002:04:09,6601.14
2002:04:10,6663.10
2002:04:11,6481.66
2002:04:12,6521.96
2002:04:15,6461.93
2002:04:16,6605.89
2002:04:17,6586.43
2002:04:18,6592.96
2002:04:19,6590.67
2002:04:22,6483.71
2002:04:23,6450.24
2002:04:24,6412.17
2002:04:25,6391.62
2002:04:26,6317.73
2002:04:29,6237.70
2002:04:30,6296.79
2002:05:01,6387.00
2002:05:02,6400.75
2002:05:03,6345.47
2002:05:06,6216.31
2002:05:07,6183.94
2002:05:08,6376.35
2002:05:09,6294.94
2002:05:10,6210.93
2002:05:13,6315.09
2002:05:14,6429.15
2002:05:15,6372.83
2002:05:16,6425.60
2002:05:17,6495.03
2002:05:20,6419.88
2002:05:21,6360.89
2002:05:22,6390.81
2002:05:23,6450.95
2002:05:24,6375.65
2002:05:27,6375.65
2002:05:28,6319.22
2002:05:29,6290.05
2002:05:30,6268.24
2002:05:31,6293.85
2002:06:03,6137.30
2002:06:04,6125.94
2002:06:05,6173.45
2002:06:06,6042.26
2002:06:07,6054.61
2002:06:10,6080.92
2002:06:11,5970.91
2002:06:12,6006.42
2002:06:13,5958.48
2002:06:14,5942.64
2002:06:17,6113.82
2002:06:18,6129.37
2002:06:19,6034.22
2002:06:20,5947.14
2002:06:21,5831.23
2002:06:24,5847.21
2002:06:25,5756.72
2002:06:26,5741.02
2002:06:27,5844.61
2002:06:28,5826.95
2002:07:01,5715.71
2002:07:02,5620.52
2002:07:03,5646.36
2002:07:04,5646.36
2002:07:05,5837.56
2002:07:08,5792.83
2002:07:09,5631.20
2002:07:10,5435.23
2002:07:11,5464.33
2002:07:12,5427.42
2002:07:15,5395.69
2002:07:16,5294.86
2002:07:17,5330.76
2002:07:18,5178.16
2002:07:19,4976.79
2002:07:22,4806.27
2002:07:23,4694.50
2002:07:24,4970.02
2002:07:25,4977.90
2002:07:26,5082.45
2002:07:29,5353.94
2002:07:30,5377.64
2002:07:31,5467.53
2002:08:01,5307.60
2002:08:02,5199.86
2002:08:05,5012.17
2002:08:06,5142.72
2002:08:07,5256.72
2002:08:08,5442.31
2002:08:09,5472.83
2002:08:12,5436.06
2002:08:13,5314.35
2002:08:14,5517.85
2002:08:15,5580.91
2002:08:16,5564.73
2002:08:19,5702.57
2002:08:20,5621.72
2002:08:21,5691.37
2002:08:22,5770.71
2002:08:23,5639.28
2002:08:26,5680.99
2002:08:27,5616.03
2002:08:28,5521.82
2002:08:29,5506.85
2002:08:30,5508.95
2002:09:02,NA
2002:09:03,5262.79
2002:09:04,5360.28
2002:09:05,5286.02
2002:09:06,5355.26
2002:09:09,5414.14
2002:09:10,5454.22
2002:09:11,5459.86
2002:09:12,5325.27
2002:09:13,5330.97
2002:09:16,5362.70
2002:09:17,5247.83
2002:09:18,5221.98
2002:09:19,5053.13
2002:09:20,5057.93
2002:09:23,5012.81
2002:09:24,4919.91
2002:09:25,5034.59
2002:09:26,5137.81
2002:09:27,4943.85
2002:09:30,4886.91
2002:10:01,5092.55
2002:10:02,4978.25
2002:10:03,4937.27
2002:10:04,4825.17
2002:10:07,4735.55
2002:10:08,4836.15
2002:10:09,4703.49
2002:10:10,4851.64
2002:10:11,5037.93
2002:10:14,5080.06
2002:10:15,5318.75
2002:10:16,5222.92
2002:10:17,5339.54
2002:10:18,5359.06
2002:10:21,5432.50
2002:10:22,5386.51
2002:10:23,5391.13
2002:10:24,5308.13
2002:10:25,5395.23
2002:10:28,5363.59
2002:10:29,5317.16
2002:10:30,5363.65
2002:10:31,5324.02
2002:11:01,5404.02
2002:11:04,5421.93
2002:11:05,5485.69
2002:11:06,5524.87
2002:11:07,5408.24
2002:11:08,5376.54
2002:11:11,5271.35
2002:11:12,5290.82
2002:11:13,5269.92
2002:11:14,5379.67
2002:11:15,5419.27
2002:11:18,5369.54
2002:11:19,5360.10
2002:11:20,5446.21
2002:11:21,5551.35
2002:11:22,5516.75
2002:11:25,5529.85
2002:11:26,5418.46
2002:11:27,5573.30
2002:11:28,5573.30
2002:11:29,5555.40
2002:12:02,5532.85
2002:12:03,5460.69
2002:12:04,5457.56
2002:12:05,5397.06
2002:12:06,5430.06
2002:12:09,5332.26
2002:12:10,5402.66
2002:12:11,5400.62
2002:12:12,5365.60
2002:12:13,5311.94
2002:12:16,5430.36
2002:12:17,5377.27
2002:12:18,5315.31
2002:12:19,5275.04
2002:12:20,5347.08
2002:12:23,5342.78
2002:12:24,5313.44
2002:12:25,5313.44
2002:12:26,5288.33
2002:12:27,5202.12
2002:12:30,5234.04
2002:12:31,5245.04
2003:01:01,NA
2003:01:02,5413.45
2003:01:03,5412.56
2003:01:06,5532.57
2003:01:07,5479.81
2003:01:08,5410.20
2003:01:09,5504.15
2003:01:10,5495.76
2003:01:13,5495.56
2003:01:14,5526.86
2003:01:15,5446.96
2003:01:16,5432.32
2003:01:17,5384.31
2003:01:20,NA
2003:01:21,5297.73
2003:01:22,5235.67
2003:01:23,5262.38
2003:01:24,5110.32
2003:01:27,5025.48
2003:01:28,5088.89
2003:01:29,5120.09
2003:01:30,5003.20
2003:01:31,5092.47
2003:02:03,5123.68
2003:02:04,5050.64
2003:02:05,5019.96
2003:02:06,4986.45
2003:02:07,4941.95
2003:02:10,4969.91
2003:02:11,4920.52
2003:02:12,4860.92
2003:02:13,4852.39
2003:02:14,4946.17
2003:02:17,NA
2003:02:18,5035.55
2003:02:19,5002.10
2003:02:20,4941.15
2003:02:21,5005.67
2003:02:24,4916.33
2003:02:25,4956.65
2003:02:26,4901.32
2003:02:27,4957.54
2003:02:28,4969.97
2003:03:03,4941.85
2003:03:04,4863.63
2003:03:05,4919.15
2003:03:06,4871.48
2003:03:07,4919.56
2003:03:10,4788.77
2003:03:11,4751.25
2003:03:12,4774.70
2003:03:13,4914.24
2003:03:14,4924.70
2003:03:17,5087.72
2003:03:18,5109.88
2003:03:19,5174.91
2003:03:20,5180.95
2003:03:21,5317.10
2003:03:24,5134.16
2003:03:25,5193.14
2003:03:26,5164.06
2003:03:27,5157.32
2003:03:28,5133.05
2003:03:31,5040.19
2003:04:01,5114.20
2003:04:02,5237.51
2003:04:03,5206.13
2003:04:04,5240.61
2003:04:07,5240.36
2003:04:08,5239.64
2003:04:09,5172.97
2003:04:10,5197.48
2003:04:11,5180.61
2003:04:14,5280.93
2003:04:15,5317.66
2003:04:16,5231.82
2003:04:17,5303.72
2003:04:18,NA
2003:04:21,5295.53
2003:04:22,5411.32
2003:04:23,5469.69
2003:04:24,5420.93
2003:04:25,5347.63
2003:04:28,5442.79
2003:04:29,5455.27
2003:04:30,5463.61
2003:05:01,5458.04
2003:05:02,5536.86
2003:05:05,5507.37
2003:05:06,5540.30
2003:05:07,5524.24
2003:05:08,5466.03
2003:05:09,5534.52
2003:05:12,5597.39
2003:05:13,5578.55
2003:05:14,5566.85
2003:05:15,5603.27
2003:05:16,5590.22
2003:05:19,5459.78
2003:05:20,5446.58
2003:05:21,5479.44
2003:05:22,5525.45
2003:05:23,5533.67
2003:05:26,NA
2003:05:27,5630.03
2003:05:28,5641.69
2003:05:29,5603.95
2003:05:30,5683.92
2003:06:02,5711.24
2003:06:03,5743.23
2003:06:04,5822.91
2003:06:05,5849.39
2003:06:06,5855.96
2003:06:09,5786.38
2003:06:10,5833.94
2003:06:11,5905.96
2003:06:12,5906.51
2003:06:13,5860.69
2003:06:16,5990.80
2003:06:17,6008.83
2003:06:18,5988.04
2003:06:19,5893.07
2003:06:20,5909.40
2003:06:23,5834.66
2003:06:24,5852.71
2003:06:25,5800.00
2003:06:26,5854.76
2003:06:27,5788.96
2003:06:30,5776.18
2003:07:01,5819.48
2003:07:02,5874.12
2003:07:03,5830.56
2003:07:04,NA
2003:07:07,5920.65
2003:07:08,5920.13
2003:07:09,5883.73
2003:07:10,5814.30
2003:07:11,5873.09
2003:07:14,5906.31
2003:07:15,5880.48
2003:07:16,5832.33
2003:07:17,5776.34
2003:07:18,5852.98
2003:07:21,5763.15
2003:07:22,5805.26
2003:07:23,5801.64
2003:07:24,5762.97
2003:07:25,5860.37
2003:07:28,5844.26
2003:07:29,5794.05
2003:07:30,5792.91
2003:07:31,5801.45
2003:08:01,5732.02
2003:08:04,5756.81
2003:08:05,5663.80
